long1,long2,lat1,lat2,color,padding,type
-50,-34,-23,-37,#F59822,1.5,e
-8,-190,38,-36,#F59822,1.5,e
-50,7,-23,-14,#F59822,1.5,e
-8,172,38,-35,#F59822,1.5,e
-50,-142,-23,-34,#F59822,1.5,e
-8,43,38,-33,#F59822,1.5,e
-50,-72,-23,-52,#F59822,1.5,e
-8,-134,38,-32,#F59822,1.5,e
-50,-126,-23,-31,#F59822,1.5,e
-8,13,38,-30,#F59822,1.5,e
-50,78,-23,-46,#F59822,1.5,e
-8,48,38,-29,#F59822,1.5,e
-50,-164,-23,-28,#F59822,1.5,e
-8,-67,38,-27,#F59822,1.5,e
-50,144,-23,40,#F59822,1.5,e
-8,183,38,-26,#F59822,1.5,e
-50,-20,-23,-25,#F59822,1.5,e
-8,59,38,-24,#F59822,1.5,e
-50,-170,-23,-32,#F59822,1.5,e
-8,-103,38,-23,#F59822,1.5,e
-50,-130,-23,-22,#F59822,1.5,e
-8,-110,38,-21,#F59822,1.5,e
-50,52,-23,-51,#F59822,1.5,e
-8,47,38,-20,#F59822,1.5,e
-50,-22,-23,-19,#F59822,1.5,e
-8,17,38,-18,#F59822,1.5,e
-50,79,-23,-5,#F59822,1.5,e
-8,78,38,-17,#F59822,1.5,e
-50,-86,-23,-16,#F59822,1.5,e
-8,-139,38,-15,#F59822,1.5,e
-50,78,-23,19,#F59822,1.5,e
-8,-1,38,-14,#F59822,1.5,e
-50,-170,-23,-13,#F59822,1.5,e
-8,15,38,-12,#F59822,1.5,e
-50,-138,-23,-9,#F59822,1.5,e
-8,-167,38,-11,#F59822,1.5,e
-50,-137,-23,-10,#F59822,1.5,e
-8,96,38,-9,#F59822,1.5,e
-50,-199,-23,8,#F59822,1.5,e
-8,-159,38,-8,#F59822,1.5,e
-50,27,-23,-7,#F59822,1.5,e
-8,111,38,-6,#F59822,1.5,e
-50,-175,-23,-27,#F59822,1.5,e
-8,195,38,-5,#F59822,1.5,e
-50,-2,-23,-4,#F59822,1.5,e
-8,-18,38,-3,#F59822,1.5,e
-50,-169,-23,-50,#F59822,1.5,e
-8,29,38,-2,#F59822,1.5,e
-50,-56,-23,-1,#F59822,1.5,e
-8,158,38,0,#F59822,1.5,e
-50,197,-23,-40,#F59822,1.5,e
-8,16,38,1,#F59822,1.5,e
-50,26,-23,2,#F59822,1.5,e
-8,128,38,3,#F59822,1.5,e
-50,-95,-23,58,#F59822,1.5,e
-8,-153,38,4,#F59822,1.5,e
-50,150,-23,5,#F59822,1.5,e
-8,-19,38,6,#F59822,1.5,e
-50,-170,-23,13,#F59822,1.5,e
-8,-106,38,7,#F59822,1.5,e
-50,-177,-23,8,#F59822,1.5,e
-8,28,38,9,#F59822,1.5,e
-50,117,-23,-56,#F59822,1.5,e
-8,-33,38,10,#F59822,1.5,e
-50,178,-23,11,#F59822,1.5,e
-8,-135,38,12,#F59822,1.5,e
-50,85,-23,5,#F59822,1.5,e
-8,-16,38,13,#F59822,1.5,e
-50,-137,-23,14,#F59822,1.5,e
-8,195,38,15,#F59822,1.5,e
-50,-97,-23,-26,#F59822,1.5,e
-8,-142,38,16,#F59822,1.5,e
-50,-170,-23,17,#F59822,1.5,e
-8,-150,38,18,#F59822,1.5,e
-50,184,-23,7,#F59822,1.5,e
-8,-162,38,19,#F59822,1.5,e
-50,-182,-23,20,#F59822,1.5,e
-8,76,38,21,#F59822,1.5,e
-50,-119,-23,24,#F59822,1.5,e
-8,-183,38,22,#F59822,1.5,e
-50,130,-23,23,#F59822,1.5,e
-8,42,38,24,#F59822,1.5,e
-50,41,-23,41,#F59822,1.5,e
-8,110,38,25,#F59822,1.5,e
-50,-78,-23,26,#F59822,1.5,e
-8,26,38,27,#F59822,1.5,e
-50,172,-23,15,#F59822,1.5,e
-8,-90,38,28,#F59822,1.5,e
-50,168,-23,29,#F59822,1.5,e
-8,-170,38,30,#F59822,1.5,e
-50,-192,-23,-37,#F59822,1.5,e
-8,18,38,31,#F59822,1.5,e
-50,194,-23,32,#F59822,1.5,e
-8,82,38,33,#F59822,1.5,e
-50,108,-23,-19,#F59822,1.5,e
-8,189,38,34,#F59822,1.5,e
-50,190,-23,35,#F59822,1.5,e
-8,35,38,36,#F59822,1.5,e
-50,-100,-23,-2,#F59822,1.5,e
-8,-159,38,37,#F59822,1.5,e
-50,-108,-23,38,#F59822,1.5,e
-8,-9,38,39,#F59822,1.5,e
-50,-50,-23,16,#F59822,1.5,e
-8,-127,38,40,#F59822,1.5,e
-50,152,-23,41,#F59822,1.5,e
-8,54,38,42,#F59822,1.5,e
-50,176,-23,56,#F59822,1.5,e
-8,124,38,43,#F59822,1.5,e
-50,113,-23,44,#F59822,1.5,e
-8,-157,38,45,#F59822,1.5,e
-50,122,-23,25,#F59822,1.5,e
-8,56,38,46,#F59822,1.5,e
-50,-105,-23,47,#F59822,1.5,e
-8,-158,38,48,#F59822,1.5,e
-50,-172,-23,5,#F59822,1.5,e
-8,-143,38,49,#F59822,1.5,e
-50,91,-23,50,#F59822,1.5,e
-8,-38,38,51,#F59822,1.5,e
-50,-28,-23,44,#F59822,1.5,e
-8,-173,38,52,#F59822,1.5,e
-50,-34,-23,58,#F59822,1.5,e
-8,-197,38,40,#F59822,1.5,e
-50,59,-23,41,#F59822,1.5,e
-8,-62,38,42,#F59822,1.5,e
-50,-70,-23,33,#F59822,1.5,e
-8,3,38,43,#F59822,1.5,e
-50,194,-23,44,#F59822,1.5,e
-8,181,38,45,#F59822,1.5,e
-50,-169,-23,29,#F59822,1.5,e
-8,-194,38,46,#F59822,1.5,e
-50,82,-23,47,#F59822,1.5,e
-8,-59,38,48,#F59822,1.5,e
-50,115,-23,52,#F59822,1.5,e
-8,112,38,49,#F59822,1.5,e
-50,-108,-23,50,#F59822,1.5,e
-8,187,38,51,#F59822,1.5,e
-50,-78,-23,47,#F59822,1.5,e
-8,-175,38,52,#F59822,1.5,e
-50,-53,-23,53,#F59822,1.5,e
-8,-65,38,54,#F59822,1.5,e
-50,-85,-23,22,#F59822,1.5,e
-8,-106,38,53,#F59822,1.5,e
-50,-159,-23,43,#F59822,1.5,e
-8,2,38,43,#F59822,1.5,e
-50,48,-23,44,#F59822,1.5,e
-8,1,38,45,#F59822,1.5,e
-50,122,-23,-46,#F59822,1.5,e
-8,-39,38,46,#F59822,1.5,e
-50,74,-23,47,#F59822,1.5,e
-8,-150,38,48,#F59822,1.5,e
-50,-82,-23,-45,#F59822,1.5,e
-8,199,38,49,#F59822,1.5,e
-50,18,-23,50,#F59822,1.5,e
-8,34,38,51,#F59822,1.5,e
-50,-90,-23,11,#F59822,1.5,e
-8,-99,38,52,#F59822,1.5,e
-50,45,-23,53,#F59822,1.5,e
-8,22,38,54,#F59822,1.5,e
-50,45,-23,-54,#F59822,1.5,e
-8,185,38,55,#F59822,1.5,e
-50,9,-23,56,#F59822,1.5,e
-8,-98,38,57,#F59822,1.5,e
-50,75,-23,-25,#F59822,1.5,e
-8,172,38,54,#F59822,1.5,e
-50,-197,-23,3,#F59822,1.5,e
-8,-96,38,46,#F59822,1.5,e
-50,47,-23,47,#F59822,1.5,e
-8,198,38,48,#F59822,1.5,e
-50,-78,-23,-22,#F59822,1.5,e
-8,6,38,49,#F59822,1.5,e

