long1,long2,lat1,lat2,color,padding,type
-8,1,38,-36,#F59822,1.5,e
-50,43,-23,22,#F59822,1.5,e
-8,36,38,-35,#F59822,1.5,e
-50,44,-23,-34,#F59822,1.5,e
-8,39,38,-33,#F59822,1.5,e
-50,85,-23,-34,#F59822,1.5,e
-8,71,38,-32,#F59822,1.5,e
-50,-80,-23,-31,#F59822,1.5,e
-8,77,38,-30,#F59822,1.5,e
-50,31,-23,-55,#F59822,1.5,e
-8,14,38,-29,#F59822,1.5,e
-50,-53,-23,-28,#F59822,1.5,e
-8,-1,38,-27,#F59822,1.5,e
-50,-48,-23,24,#F59822,1.5,e
-8,-18,38,-26,#F59822,1.5,e
-50,30,-23,-25,#F59822,1.5,e
-8,2,38,-24,#F59822,1.5,e
-50,-10,-23,-5,#F59822,1.5,e
-8,-1,38,-23,#F59822,1.5,e
-50,-43,-23,-22,#F59822,1.5,e
-8,80,38,-21,#F59822,1.5,e
-50,-27,-23,-54,#F59822,1.5,e
-8,-32,38,-20,#F59822,1.5,e
-50,73,-23,-19,#F59822,1.5,e
-8,9,38,-18,#F59822,1.5,e
-50,47,-23,-49,#F59822,1.5,e
-8,-57,38,-17,#F59822,1.5,e
-50,84,-23,-16,#F59822,1.5,e
-8,24,38,-15,#F59822,1.5,e
-50,34,-23,40,#F59822,1.5,e
-8,-79,38,-14,#F59822,1.5,e
-50,53,-23,-13,#F59822,1.5,e
-8,-80,38,-12,#F59822,1.5,e
-50,-51,-23,58,#F59822,1.5,e
-8,-41,38,-11,#F59822,1.5,e
-50,3,-23,-10,#F59822,1.5,e
-8,47,38,-9,#F59822,1.5,e
-50,85,-23,-35,#F59822,1.5,e
-8,-71,38,-8,#F59822,1.5,e
-50,68,-23,-7,#F59822,1.5,e
-8,69,38,-6,#F59822,1.5,e
-50,-17,-23,-43,#F59822,1.5,e
-8,-41,38,-5,#F59822,1.5,e
-50,-67,-23,-4,#F59822,1.5,e
-8,55,38,-3,#F59822,1.5,e
-50,-4,-23,24,#F59822,1.5,e
-8,53,38,-2,#F59822,1.5,e
-50,30,-23,-1,#F59822,1.5,e
-8,-67,38,0,#F59822,1.5,e
-50,63,-23,-17,#F59822,1.5,e
-8,26,38,1,#F59822,1.5,e
-50,-2,-23,2,#F59822,1.5,e
-8,-11,38,3,#F59822,1.5,e
-50,53,-23,-36,#F59822,1.5,e
-8,-2,38,4,#F59822,1.5,e
-50,8,-23,5,#F59822,1.5,e
-8,24,38,6,#F59822,1.5,e
-50,-25,-23,-37,#F59822,1.5,e
-8,-31,38,7,#F59822,1.5,e
-50,-71,-23,8,#F59822,1.5,e
-8,14,38,9,#F59822,1.5,e
-50,70,-23,-30,#F59822,1.5,e
-8,77,38,10,#F59822,1.5,e
-50,78,-23,11,#F59822,1.5,e
-8,-20,38,12,#F59822,1.5,e
-50,-28,-23,-47,#F59822,1.5,e
-8,32,38,13,#F59822,1.5,e
-50,-45,-23,14,#F59822,1.5,e
-8,78,38,15,#F59822,1.5,e
-50,-32,-23,18,#F59822,1.5,e
-8,-33,38,16,#F59822,1.5,e
-50,30,-23,17,#F59822,1.5,e
-8,41,38,18,#F59822,1.5,e
-50,75,-23,-24,#F59822,1.5,e
-8,-14,38,19,#F59822,1.5,e
-50,-74,-23,20,#F59822,1.5,e
-8,-27,38,21,#F59822,1.5,e
-50,22,-23,-51,#F59822,1.5,e
-8,-37,38,22,#F59822,1.5,e
-50,66,-23,23,#F59822,1.5,e
-8,-28,38,24,#F59822,1.5,e
-50,80,-23,-28,#F59822,1.5,e
-8,85,38,25,#F59822,1.5,e
-50,-8,-23,26,#F59822,1.5,e
-8,-50,38,27,#F59822,1.5,e
-50,56,-23,-22,#F59822,1.5,e
-8,-75,38,28,#F59822,1.5,e
-50,27,-23,29,#F59822,1.5,e
-8,32,38,30,#F59822,1.5,e
-50,-9,-23,-9,#F59822,1.5,e
-8,10,38,31,#F59822,1.5,e
-50,5,-23,32,#F59822,1.5,e
-8,54,38,33,#F59822,1.5,e
-50,73,-23,48,#F59822,1.5,e
-8,43,38,34,#F59822,1.5,e
-50,-2,-23,35,#F59822,1.5,e
-8,-16,38,36,#F59822,1.5,e
-50,-9,-23,14,#F59822,1.5,e
-8,47,38,37,#F59822,1.5,e
-50,-14,-23,38,#F59822,1.5,e
-8,78,38,39,#F59822,1.5,e
-50,34,-23,38,#F59822,1.5,e
-8,8,38,40,#F59822,1.5,e
-50,85,-23,41,#F59822,1.5,e
-8,39,38,42,#F59822,1.5,e
-50,62,-23,-44,#F59822,1.5,e
-8,-26,38,43,#F59822,1.5,e
-50,-115,-23,44,#F59822,1.5,e
-8,115,38,45,#F59822,1.5,e
-50,71,-23,-40,#F59822,1.5,e
-8,-84,38,46,#F59822,1.5,e
-50,138,-23,47,#F59822,1.5,e
-8,52,38,48,#F59822,1.5,e
-50,-68,-23,0,#F59822,1.5,e
-8,20,38,49,#F59822,1.5,e
-50,199,-23,50,#F59822,1.5,e
-8,22,38,51,#F59822,1.5,e
-50,-11,-23,32,#F59822,1.5,e
-8,-135,38,52,#F59822,1.5,e
-50,-22,-23,0,#F59822,1.5,e
-8,-20,38,40,#F59822,1.5,e
-50,-77,-23,41,#F59822,1.5,e
-8,154,38,42,#F59822,1.5,e
-50,12,-23,-20,#F59822,1.5,e
-8,-91,38,43,#F59822,1.5,e
-50,70,-23,44,#F59822,1.5,e
-8,-125,38,45,#F59822,1.5,e
-50,-79,-23,58,#F59822,1.5,e
-8,93,38,46,#F59822,1.5,e
-50,181,-23,47,#F59822,1.5,e
-8,194,38,48,#F59822,1.5,e
-50,61,-23,-6,#F59822,1.5,e
-8,-84,38,49,#F59822,1.5,e
-50,72,-23,50,#F59822,1.5,e
-8,78,38,51,#F59822,1.5,e
-50,20,-23,-35,#F59822,1.5,e
-8,143,38,52,#F59822,1.5,e
-50,-20,-23,53,#F59822,1.5,e
-8,-66,38,54,#F59822,1.5,e
-50,49,-23,-35,#F59822,1.5,e
-8,-66,38,53,#F59822,1.5,e
-50,70,-23,-37,#F59822,1.5,e
-8,21,38,43,#F59822,1.5,e
-50,-15,-23,44,#F59822,1.5,e
-8,174,38,45,#F59822,1.5,e
-50,7,-23,-27,#F59822,1.5,e
-8,-115,38,46,#F59822,1.5,e
-50,-32,-23,47,#F59822,1.5,e
-8,-98,38,48,#F59822,1.5,e
-50,36,-23,33,#F59822,1.5,e
-8,149,38,49,#F59822,1.5,e
-50,25,-23,50,#F59822,1.5,e
-8,81,38,51,#F59822,1.5,e
-50,78,-23,9,#F59822,1.5,e
-8,20,38,52,#F59822,1.5,e
-50,-76,-23,53,#F59822,1.5,e
-8,107,38,54,#F59822,1.5,e
-50,-9,-23,-27,#F59822,1.5,e
-8,-90,38,55,#F59822,1.5,e
-50,-109,-23,56,#F59822,1.5,e
-8,191,38,57,#F59822,1.5,e
-50,-74,-23,-10,#F59822,1.5,e
-8,33,38,54,#F59822,1.5,e
-50,-10,-23,-8,#F59822,1.5,e
-8,-20,38,46,#F59822,1.5,e
-50,-7,-23,47,#F59822,1.5,e
-8,97,38,48,#F59822,1.5,e
-50,20,-23,52,#F59822,1.5,e
-8,53,38,49,#F59822,1.5,e
